contig	cov_mean_sample_idba_ud_perc100_sorted
contig-100_35.16	11.018
contig-100_35.17	11.736
contig-100_36.0	26.717
contig-100_36.1	24.444
contig-100_36.2	26.067
contig-100_36.3	28.508
contig-100_36.4	24.580
contig-100_36.5	26.020
contig-100_36.6	25.610
contig-100_36.7	25.530
contig-100_36.8	27.230
contig-100_36.9	25.608
contig-100_36.10	27.058
contig-100_36.11	26.358
contig-100_36.12	24.219
contig-100_36.13	26.631
contig-100_36.14	26.613
contig-100_36.15	27.044
contig-100_36.16	27.173
contig-100_37.0	15.979
contig-100_37.1	15.808
contig-100_37.2	16.734
contig-100_37.3	17.437
contig-100_37.4	17.233
contig-100_37.5	16.615
contig-100_37.6	17.418
contig-100_37.7	17.093
contig-100_37.8	16.768
contig-100_37.9	17.580
contig-100_37.10	17.003
contig-100_37.11	17.977
contig-100_37.12	15.192
