contig	cov_mean_sample_metaspades_perc100_sorted
NODE_6_length_544839_cov_12.462009.36	16.559
NODE_6_length_544839_cov_12.462009.37	16.791
NODE_6_length_544839_cov_12.462009.38	15.066
NODE_6_length_544839_cov_12.462009.39	17.765
NODE_6_length_544839_cov_12.462009.40	15.888
NODE_6_length_544839_cov_12.462009.41	16.216
NODE_6_length_544839_cov_12.462009.42	16.508
NODE_6_length_544839_cov_12.462009.43	17.505
NODE_6_length_544839_cov_12.462009.44	17.656
NODE_6_length_544839_cov_12.462009.45	16.438
NODE_6_length_544839_cov_12.462009.46	16.159
NODE_6_length_544839_cov_12.462009.47	16.616
